"","","","","","","","","","",""
"85","ADAM de Gouda","1365","Gradué","Pays-Bas Gouda ","","Paris","
          Bachelier ès arts (Paris)
          
            1365
          
          .
        ","non","non","non"
"17137","ADAM de Gravia","1345","Incertain","  ","","Paris","","oui","non","non"
"86","ADAM de Guire","1290","Maître","  ","","Paris","
          Licencié en droit canon (Paris)
          
            1290
          
          .
        ","non","non","non"
"87","ADAM de Gulyn","1272","Maître","Ecosse Gullane ","","","
          Maître en théologie (Paris) ca
          
            1281
          
          .
        ","oui","oui","non"
"16133","ADAM de Harly","1483","Suppôt","  ","","Paris","","non","oui","non"
"17192","ADAM de Hautefeuille","1380","Étudiant","Picardie Soissons ","Soissons","Paris","","non","non","non"
"88","ADAM de Haya","1279","Étudiant","  ","","Paris","
          Étudiant (Faculté de
          Théologie
          ) en
          
            1279
          
          .
        ","non","non","non"
"89","ADAM de Hemlington","1412","Maître","Angleterre  ","","Paris","
          Maître en théologie (?)
          
            1414
          
          .
        ","oui","oui","oui"
"90","ADAM de Kalkar","1371","Incertain","  ","","Paris","","non","non","non"
"91","ADAM de Kininmund","1344","Gradué","Écosse  ","","Paris","
          Bachelier ès arts (Paris)
          
            1344
          
          .
        ","non","non","non"
"116","ADAM de La Bassée","1283","Incertain","Flandres La Bassée ","","","","oui","non","oui"
"15574","ADAM de Ladehors","1495","Maître","  ","Paris","Paris","
          Bachelier en droit canon (Paris) (le 17 mars)
          
            1495
          
          .
        ","non","non","non"
"66","ADAM de Linteia","1300","Étudiant","Angleterre  ","","","Étudiant en droit canon .","oui","non","non"
"93","ADAM de Melun","1360","Extérieur","  ","","Paris","","non","non","non"
"15569","ADAM de Monsteriolo","1203","?Maître","  ","","Paris","","oui","non","non"
"17162","ADAM de Méricourt","1408","Extérieur","  ","","","","non","non","non"
"94","ADAM de Nemosio","1364","Maître","Île-de-France Nemours ","","Paris","Maître en théologie","oui","oui","oui"
"95","ADAM de Norfolk","1275","Extérieur","Angleterre  ","","Oxford","
          Magister (Oxford)
          
            1267
          
          .
        ","oui","oui","non"
"96","ADAM de Paris 1","1060","Incertain","Île-de-France Paris ","","Paris","","non","non","oui"
"98","ADAM de Paris 2","1273","?Maître","  ","","Paris","?Maître en théologie (Paris).","oui","non","oui"
"97","ADAM de Paris 3","1275","Incertain","  ","","","","oui","non","oui"
"99","ADAM de Pontisara","1278","?Étudiant","  ","","Paris","","non","non","non"
"100","ADAM de Porta","1386","Maître","  ","Meaux","Paris","
            Étudiant en médecine (Paris)
          
            
              1383
            
            
              1387
            
          
          .
        ","oui","non","non"
"17534","ADAM de Pruvino","1314","Étudiant","  ","","Paris","
          Étudiant en théologie en
          
            1312
          
          , sans doute à
          Paris
          ;
        ","oui","non","non"
"127","ADAM de Puteorum Villa","1225","Maître","  ","","Paris","
          Maître en théologie (Paris)
          
            1209
          
        ","oui","oui","oui"
"16524","ADAM de Richero","1391","Incertain","  ","Laon","Paris","","oui","oui","non"
"101","ADAM de Rusa","1330","Étudiant","  ","","Paris","Étudiant.","non","non","non"
"102","ADAM de Sahurs","1397","Maître","  ","","Paris","Étudiant en théologie.","oui","non","non"
"103","ADAM de Saint-Edmund","1220","Extérieur","  ","","Oxford","
          Magister (Oxford)
          
            1203
          
          .
        ","oui","non","non"
"105","ADAM de Sancto Leodegario","1346","Maître","Picardie  ","Amiens","Paris","
          Maître ès arts
          
            1349
          
          .
        ","oui","non","non"
"106","ADAM de Sancto Mauro","1347","Étudiant","  ","","Paris","
          Étudiant en théologie (Paris)
          
            1348
          
          .
        ","non","non","non"
"15576","ADAM de Sancto Prejecto","1498","Gradué","  ","Meaux","Paris","
          Bachelier en droit canon (Paris) (14 mars)
          
            1498
          
          .
        ","oui","non","non"
"104","ADAM de Sancto-Victore","1126","?Maître","  ","","","","oui","non","oui"
"107","ADAM de Schrivenham","1296","Extérieur","Angleterre  ","","Oxford","Maître ès arts","non","oui","non"
"17134","ADAM de Senonis","1353","Étudiant","  ","","Paris","Étudiant.","non","oui","non"
"109","ADAM de Soissons 1","1384","?Maître","Picardie Soissons ","","Paris","Magister","oui","non","non"
"110","ADAM de Soissons 2","1389","Étudiant ?","Picardie Soissons ","","Paris","
          Étudiant à la faculté de
          théologie
          ?
        ","oui","non","non"
"111","ADAM de Spruun","1313","Étudiant","  ","","Paris","","non","non","non"
"15852","ADAM de Tyningham","1374","Maître ?","Écosse Tyninghame ","Saint-Andrews","Paris","
          Sch.en droit canon .
          
            1362
          
          .
        ","oui","oui","non"
"112","ADAM de Vileron","1286","Maître","  ","","Paris","Magister.","non","non","non"
"113","ADAM de Villanis","1309","Maître","  ","","Paris","Maître ès arts ?","non","oui","non"
